yearQuarter,state,totalRX
2015,NJ,2720
2015.25,NJ,1985
2015.5,NJ,2634
2015.75,NJ,2108
2016,NJ,2549
2016.25,NJ,3223
2016.5,NJ,1735
2016.75,NJ,2669
2017,NJ,1101
2017.25,NJ,1137
2017.5,NJ,1059
2017.75,NJ,1125
2018,NJ,1209
2018.25,NJ,1365
2018.5,NJ,3024
2018.75,NJ,3636
2019,NJ,4015
2019.25,NJ,4001
2019.5,NJ,4040
2019.75,NJ,3942
2020,NJ,4043
2020.25,NJ,3292
2020.5,NJ,3452
2020.75,NJ,3493
2021,NJ,2305
2012,NM,126
2012.25,NM,493
2012.5,NM,400
2012.75,NM,330
2013,NM,529
2013.25,NM,405
2013.5,NM,304
2013.75,NM,216
2014,NM,38
2014.25,NM,153
2014.5,NM,1194
2014.75,NM,539
2015,NM,555
2015.25,NM,648
2015.5,NM,354
2015.75,NM,571
2016.25,NM,627
2016.5,NM,685
2016.75,NM,728
2017,NM,703
2017.25,NM,772
2017.5,NM,729
2017.75,NM,729
2018,NM,892
2018.25,NM,845
2018.5,NM,872
2018.75,NM,782
2019,NM,1157
2019.25,NM,1181
2019.5,NM,1235
2019.75,NM,1108
2020,NM,334
2020.25,NM,1061
2020.5,NM,1033
2020.75,NM,960
2021,NM,990
2012,NV,93
2012.25,NV,187
2012.5,NV,224
2012.75,NV,228
2013,NV,284
2013.25,NV,231
2013.5,NV,251
2013.75,NV,247
2014,NV,359
2014.25,NV,455
2014.5,NV,454
2014.75,NV,457
2015,NV,454
2015.25,NV,530
2015.5,NV,484
2015.75,NV,521
2016,NV,592
2016.25,NV,604
2016.5,NV,590
2016.75,NV,465
2017,NV,579
2017.25,NV,457
2017.5,NV,911
2017.75,NV,1053
2018,NV,1232
2018.25,NV,1365
2018.5,NV,1414
2018.75,NV,1138
2019,NV,1166
2019.25,NV,1046
2019.5,NV,1161
2019.75,NV,1104
2020,NV,1116
2020.25,NV,1040
2020.5,NV,1039
2020.75,NV,977
2021,NV,964
2012,NY,4720
2012.25,NY,8866
2012.5,NY,8483
2012.75,NY,8767
2013,NY,11590
2013.25,NY,10797
2013.5,NY,9909
2013.75,NY,9635
2014,NY,10357
2014.25,NY,12522
2014.5,NY,12256
2014.75,NY,11359
2015,NY,12925
2015.25,NY,13906
2015.5,NY,11197
2015.75,NY,11605
2016,NY,15475
2016.25,NY,15202
2016.5,NY,13483
2016.75,NY,14407
2017,NY,15914
2017.25,NY,16884
2017.5,NY,16295
2017.75,NY,16448
2018,NY,18082
2018.25,NY,18041
2018.5,NY,17923
2018.75,NY,17514
2019,NY,18766
2019.25,NY,18198
2019.5,NY,17753
2019.75,NY,17234
2020,NY,17671
2020.25,NY,14462
2020.5,NY,15149
2020.75,NY,15083
2021,NY,14952
2012,OH,1678
2012.25,OH,3541
2012.5,OH,5769
2012.75,OH,6368
2013,OH,5128
2013.25,OH,4982
2013.5,OH,4615
2013.75,OH,4493
2014,OH,4885
2014.25,OH,5461
2014.5,OH,5724
2014.75,OH,6848
2015,OH,6978
2015.25,OH,8535
2015.5,OH,8741
2015.75,OH,9058
2016,OH,12029
2016.25,OH,10323
2016.5,OH,10510
2016.75,OH,10481
2017,OH,12310
2017.25,OH,16263
2017.5,OH,11618
2017.75,OH,12031
2018,OH,12723
2018.25,OH,13665
2018.5,OH,12170
2018.75,OH,11154
2019,OH,11587
2019.25,OH,11253
2019.5,OH,10999
2019.75,OH,10040
2020,OH,12729
2020.25,OH,10976
2020.5,OH,11525
2020.75,OH,10866
2021,OH,7181
2012,OK,313
2012.25,OK,979
2012.5,OK,886
2012.75,OK,930
2013,OK,1089
2013.25,OK,950
2013.5,OK,822
2013.75,OK,764
2014,OK,818
2014.25,OK,845
2014.5,OK,706
2014.75,OK,881
2015,OK,757
2015.25,OK,864
2015.5,OK,828
2015.75,OK,729
2016,OK,961
2016.25,OK,965
2016.5,OK,991
2016.75,OK,981
2017,OK,1158
2017.25,OK,1138
2017.5,OK,1017
2017.75,OK,1100
2018,OK,1169
2018.25,OK,1308
2018.5,OK,1472
2018.75,OK,1274
2019,OK,1334
2019.25,OK,1334
2019.5,OK,1300
2019.75,OK,1152
2020,OK,1205
2020.25,OK,1076
2020.5,OK,1105
2020.75,OK,983
2021,OK,976
2012,OR,784
2012.25,OR,2159
2012.5,OR,1671
2012.75,OR,1073
2013,OR,2441
2013.25,OR,2815
2013.5,OR,1692
2013.75,OR,1533
2014,OR,2557
2014.25,OR,4062
2014.5,OR,2998
2014.75,OR,3260
2015,OR,4003
2015.25,OR,3906
2015.5,OR,3536
2015.75,OR,3589
2016,OR,3830
2016.25,OR,3878
2016.5,OR,3424
2016.75,OR,3856
2017,OR,3985
2017.25,OR,6024
2017.5,OR,3957
2017.75,OR,4107
2018,OR,4550
2018.25,OR,4405
2018.5,OR,4278
2018.75,OR,4379
2019,OR,4828
2019.25,OR,4985
2019.5,OR,4871
2019.75,OR,4695
2020,OR,5239
2020.25,OR,4226
2020.5,OR,4215
2020.75,OR,4560
2021,OR,4653
2012,PA,716
2012.25,PA,1368
2012.5,PA,1505
2012.75,PA,1459
2013,PA,1601
2013.25,PA,1787
2013.5,PA,2126
2013.75,PA,2034
2014,PA,1652
2014.25,PA,1895
2014.5,PA,1787
2014.75,PA,1998
2015,PA,1894
2015.25,PA,2431
2015.5,PA,2887
2015.75,PA,3901
2016,PA,3831
2016.25,PA,4213
2016.5,PA,4578
2016.75,PA,5066
2017,PA,5252
2017.25,PA,7818
2017.5,PA,5710
